"probabilities"	"Freq"
"0.72"	1765
"0.71"	1680
"0.73"	1662
"0.69"	1653
"0.58"	1620
"0.74"	1620
"0.59"	1616
"0.83"	1597
"0.57"	1565
"0.55"	1548
"0.6"	1547
"0.56"	1531
"0.68"	1515
"0.84"	1499
"0.67"	1456
"0.7"	1418
"0.66"	1417
"0.75"	1400
"0.61"	1389
"0.54"	1383
"0.65"	1378
"0.64"	1372
"0.82"	1366
"0.63"	1348
"0.81"	1342
"0.53"	1330
"0.62"	1323
"0.52"	1286
"0.8"	1241
"0.76"	1196
"0.51"	1153
"0.78"	1056
"0.79"	985
"0.77"	981
"0.85"	544
"0.5"	481
"0.86"	446
"0.87"	295
"0.92"	287
"0.88"	244
"0.91"	221
"0.9"	217
"0.93"	201
"0.89"	196
"0.94"	83
"0.95"	1
