"length_of_seqs"	"Freq"
"79"	1120
"80"	1189
"81"	1064
"82"	1132
"83"	993
"84"	871
"85"	961
"86"	952
"87"	767
"88"	934
"89"	855
"90"	745
"91"	769
"92"	837
"93"	876
"94"	741
"95"	807
"96"	631
"97"	685
"98"	695
"99"	573
"100"	676
"101"	606
"102"	573
"103"	624
"104"	671
"105"	436
"106"	570
"107"	502
"108"	415
"109"	486
"110"	424
"111"	444
"112"	498
"113"	448
"114"	411
"115"	374
"116"	388
"117"	350
"118"	359
"119"	376
"120"	328
"121"	328
"122"	464
"123"	436
"124"	350
"125"	294
"126"	305
"127"	305
"128"	298
"129"	322
"130"	275
"131"	300
"132"	260
"133"	263
"134"	277
"135"	221
"136"	271
"137"	258
"138"	340
"139"	322
"140"	262
"141"	373
"142"	272
"143"	231
"144"	263
"145"	218
"146"	199
"147"	187
"148"	171
"149"	201
"150"	205
"151"	174
"152"	160
"153"	175
"154"	182
"155"	148
"156"	151
"157"	185
"158"	144
"159"	145
"160"	152
"161"	162
"162"	143
"163"	136
"164"	135
"165"	130
"166"	132
"167"	211
"168"	134
"169"	104
"170"	151
"171"	138
"172"	126
"173"	140
"174"	140
"175"	138
"176"	124
"177"	126
"178"	108
"179"	112
"180"	131
"181"	106
"182"	100
"183"	141
"184"	117
"185"	88
"186"	88
"187"	87
"188"	91
"189"	97
"190"	95
"191"	90
"192"	86
"193"	91
"194"	98
"195"	92
"196"	86
"197"	73
"198"	70
"199"	97
"200"	63
"201"	65
"202"	86
"203"	53
"204"	85
"205"	58
"206"	117
"207"	83
"208"	77
"209"	67
"210"	47
"211"	53
"212"	63
"213"	56
"214"	52
"215"	42
"216"	63
"217"	69
"218"	66
"219"	121
"220"	47
"221"	52
"222"	100
"223"	46
"224"	82
"225"	47
"226"	56
"227"	46
"228"	40
"229"	49
"230"	50
"231"	70
"232"	68
"233"	33
"234"	44
"235"	31
"236"	48
"237"	55
"238"	62
"239"	37
"240"	42
"241"	49
"242"	36
"243"	50
"244"	26
"245"	30
"246"	41
"247"	33
"248"	52
"249"	40
"250"	47
"251"	42
"252"	33
"253"	40
"254"	29
"255"	30
"256"	29
"257"	45
"258"	26
"259"	31
"260"	32
"261"	28
"262"	32
"263"	44
"264"	42
"265"	30
"266"	32
"267"	33
"268"	94
"269"	26
"270"	36
"271"	33
"272"	28
"273"	16
"274"	20
"275"	18
"276"	31
"277"	34
"278"	31
"279"	28
"280"	23
"281"	40
"282"	45
"283"	29
"284"	24
"285"	30
"286"	32
"287"	24
"288"	23
"289"	22
"290"	28
"291"	26
"292"	25
"293"	31
"294"	12
"295"	18
"296"	19
"297"	17
"298"	17
"299"	17
"300"	14
"301"	21
"302"	16
"303"	27
"304"	18
"305"	26
"306"	26
"307"	28
"308"	20
"309"	17
"310"	23
"311"	25
"312"	22
"313"	14
"314"	12
"315"	8
"316"	15
"317"	16
"318"	19
"319"	21
"320"	22
"321"	19
"322"	11
"323"	15
"324"	17
"325"	21
"326"	22
"327"	12
"328"	9
"329"	23
"330"	17
"331"	13
"332"	14
"333"	20
"334"	17
"335"	31
"336"	20
"337"	8
"338"	12
"339"	19
"340"	12
"341"	13
"342"	8
"343"	13
"344"	13
"345"	12
"346"	25
"347"	16
"348"	24
"349"	13
"350"	13
"351"	36
"352"	19
"353"	14
"354"	15
"355"	13
"356"	17
"357"	12
"358"	18
"359"	10
"360"	23
"361"	12
"362"	20
"363"	15
"364"	21
"365"	44
"366"	12
"367"	8
"368"	9
"369"	12
"370"	18
"371"	8
"372"	7
"373"	5
"374"	19
"375"	20
"376"	17
"377"	15
"378"	17
"379"	10
"380"	14
"381"	2
"382"	10
"383"	9
"384"	13
"385"	6
"386"	12
"387"	18
"388"	5
