"data"	"Freq"
"80"	1189
"82"	1132
"79"	1120
"81"	1064
"83"	993
"85"	961
"86"	952
"88"	934
"93"	876
"84"	871
"89"	855
"92"	837
"95"	807
"91"	769
"87"	767
"90"	745
"94"	741
"98"	695
"97"	685
"100"	676
"104"	671
"96"	631
"103"	624
"101"	606
"99"	573
"102"	573
"106"	570
"107"	502
"112"	498
"109"	486
"122"	464
"113"	448
"111"	444
"105"	436
"123"	436
"110"	424
"108"	415
"114"	411
"116"	388
"119"	376
"115"	374
"141"	373
"118"	359
"117"	350
"124"	350
"138"	340
"120"	328
"121"	328
"129"	322
"139"	322
"126"	305
"127"	305
"131"	300
"128"	298
"125"	294
"134"	277
"130"	275
"142"	272
"136"	271
"133"	263
"144"	263
"140"	262
"132"	260
"137"	258
"143"	231
"135"	221
"145"	218
"167"	211
"150"	205
"149"	201
"146"	199
"147"	187
"157"	185
"154"	182
"153"	175
"151"	174
"148"	171
"161"	162
"152"	160
"160"	152
"156"	151
"170"	151
"155"	148
"159"	145
"158"	144
"162"	143
"183"	141
"173"	140
"174"	140
"171"	138
"175"	138
"163"	136
"164"	135
"168"	134
"166"	132
"180"	131
"165"	130
"172"	126
"177"	126
"176"	124
"219"	121
"184"	117
"206"	117
"179"	112
"178"	108
"181"	106
"169"	104
"182"	100
"222"	100
"194"	98
"189"	97
"199"	97
"190"	95
"268"	94
"195"	92
"188"	91
"193"	91
"191"	90
"185"	88
"186"	88
"187"	87
"192"	86
"196"	86
"202"	86
"204"	85
"207"	83
"224"	82
"208"	77
"197"	73
"198"	70
"231"	70
"217"	69
"232"	68
"209"	67
"218"	66
"201"	65
"200"	63
"212"	63
"216"	63
"238"	62
"205"	58
"213"	56
"226"	56
"237"	55
"203"	53
"211"	53
"214"	52
"221"	52
"248"	52
"230"	50
"243"	50
"229"	49
"241"	49
"236"	48
"210"	47
"220"	47
"225"	47
"250"	47
"223"	46
"227"	46
"257"	45
"282"	45
"234"	44
"263"	44
"365"	44
"215"	42
"240"	42
"251"	42
"264"	42
"246"	41
"228"	40
"249"	40
"253"	40
"281"	40
"239"	37
"242"	36
"270"	36
"351"	36
"534"	36
"277"	34
"637"	34
"233"	33
"247"	33
"252"	33
"267"	33
"271"	33
"260"	32
