"data"	"Freq"
"95"	81
"88"	80
"141"	64
"81"	42
"93"	35
"637"	29
"80"	28
"87"	25
"84"	24
"85"	24
"86"	23
"92"	22
"112"	22
"79"	20
"83"	19
"91"	19
"97"	19
"99"	18
"194"	18
"111"	17
"116"	17
"105"	16
"82"	15
"98"	15
"103"	15
"127"	15
"282"	15
"96"	14
"100"	14
"102"	13
"114"	13
"139"	12
"101"	11
"107"	11
"108"	11
"113"	11
"119"	11
"90"	10
"115"	10
"89"	9
"106"	9
"120"	9
"121"	9
"122"	9
"125"	9
"175"	9
"188"	9
"94"	8
"104"	8
"136"	8
"170"	8
"118"	7
"124"	7
"135"	7
"137"	7
"191"	7
"109"	6
"110"	6
"117"	6
"131"	6
"142"	6
"143"	6
"156"	6
"159"	6
"161"	6
"162"	6
"167"	6
"171"	6
"177"	6
"203"	6
"129"	5
"130"	5
"133"	5
"149"	5
"151"	5
"153"	5
"172"	5
"187"	5
"192"	5
"193"	5
"231"	5
"263"	5
"334"	5
"358"	5
"446"	5
"547"	5
"126"	4
"128"	4
"132"	4
"145"	4
"150"	4
"152"	4
"154"	4
"157"	4
"158"	4
"160"	4
"166"	4
"173"	4
"174"	4
"179"	4
"181"	4
"183"	4
"184"	4
"185"	4
"221"	4
"241"	4
"259"	4
"303"	4
"311"	4
"348"	4
"354"	4
"364"	4
"370"	4
"392"	4
"592"	4
"134"	3
"140"	3
"144"	3
"146"	3
"147"	3
"168"	3
"169"	3
"182"	3
"189"	3
"199"	3
"204"	3
"206"	3
"209"	3
"212"	3
"217"	3
"219"	3
"220"	3
"222"	3
"238"	3
"239"	3
"248"	3
"253"	3
"255"	3
"256"	3
"258"	3
"262"	3
"265"	3
"272"	3
"276"	3
"298"	3
"363"	3
"367"	3
"372"	3
"377"	3
"384"	3
"386"	3
"390"	3
"393"	3
"434"	3
"439"	3
"445"	3
"472"	3
"478"	3
"484"	3
"502"	3
"608"	3
"652"	3
"123"	2
"138"	2
"148"	2
"163"	2
"165"	2
"178"	2
"195"	2
"201"	2
"205"	2
"207"	2
"211"	2
"213"	2
"214"	2
"225"	2
"230"	2
"233"	2
"234"	2
"250"	2
"251"	2
"257"	2
"270"	2
"273"	2
"278"	2
"289"	2
"290"	2
"300"	2
"306"	2
"307"	2
"308"	2
"314"	2
"318"	2
"323"	2
"333"	2
"344"	2
"350"	2
"360"	2
"362"	2
"387"	2
"394"	2
"398"	2
"405"	2
"406"	2
"410"	2
"413"	2
"417"	2
"418"	2
"419"	2
"420"	2
"431"	2
"436"	2
"441"	2
"462"	2
"463"	2
"470"	2
"479"	2
"483"	2
"485"	2
"498"	2
"503"	2
"504"	2
"523"	2
"531"	2
"536"	2
"593"	2
"626"	2
"629"	2
"687"	2
"878"	2
"155"	1
"164"	1
"176"	1
"180"	1
"186"	1
"196"	1
"198"	1
"202"	1
"210"	1
"216"	1
"223"	1
"226"	1
"229"	1
"232"	1
"242"	1
"243"	1
"246"	1
"247"	1
"249"	1
"252"	1
"261"	1
"264"	1
"266"	1
"267"	1
"268"	1
"271"	1
"274"	1
"277"	1
"280"	1
"281"	1
"288"	1
"291"	1
"292"	1
"293"	1
"299"	1
"302"	1
"304"	1
"309"	1
"310"	1
"312"	1
"319"	1
"321"	1
"322"	1
"325"	1
"326"	1
"330"	1
"331"	1
"336"	1
"338"	1
"339"	1
"341"	1
"343"	1
"346"	1
"347"	1
"349"	1
"355"	1
"356"	1
"357"	1
"359"	1
"361"	1
"365"	1
"366"	1
"371"	1
"379"	1
"383"	1
"388"	1
"391"	1
"395"	1
"397"	1
"401"	1
"403"	1
"409"	1
"414"	1
"416"	1
"424"	1
"426"	1
"427"	1
"428"	1
"438"	1
"442"	1
"443"	1
"444"	1
"447"	1
"448"	1
"449"	1
"450"	1
"452"	1
"454"	1
"455"	1
"456"	1
"457"	1
"459"	1
"460"	1
"464"	1
"468"	1
"476"	1
"477"	1
"481"	1
"486"	1
"492"	1
"494"	1
"500"	1
"509"	1
"510"	1
"512"	1
"514"	1
"516"	1
"517"	1
"521"	1
"522"	1
"530"	1
"533"	1
"534"	1
"539"	1
"542"	1
"543"	1
"546"	1
"551"	1
"553"	1
"566"	1
"567"	1
"568"	1
"572"	1
"579"	1
"582"	1
"585"	1
"594"	1
"598"	1
"599"	1
"610"	1
"612"	1
"613"	1
"616"	1
"618"	1
"620"	1
"621"	1
"628"	1
"632"	1
"635"	1
"642"	1
"648"	1
"655"	1
"658"	1
"676"	1
"691"	1
"705"	1
"709"	1
"712"	1
"715"	1
"725"	1
"729"	1
"731"	1
"739"	1
"751"	1
"752"	1
"757"	1
"761"	1
"762"	1
"767"	1
"773"	1
"774"	1
"777"	1
"782"	1
"797"	1
"800"	1
"801"	1
"807"	1
"815"	1
"823"	1
"830"	1
"833"	1
"836"	1
"847"	1
"877"	1
"883"	1
"931"	1
"941"	1
"947"	1
"950"	1
"956"	1
"966"	1
"969"	1
"987"	1
"988"	1
"1019"	1
"1020"	1
"1023"	1
"1029"	1
"1032"	1
"1124"	1
"1128"	1
"1206"	1
"1261"	1
"1317"	1
"1378"	1
"1405"	1
"1406"	1
"1411"	1
"1450"	1
"1599"	1
"1851"	1
"1868"	1
"2036"	1
